Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves,year
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#,
3,Klay Thompson,24,77,2455,0.463,16.1,,0.58,0.172,0.107,0.131,0.171,0.42,,0.481,0.682,0.345,0.418,0.414,0.439,,0.556,0.908,,0.019,21,,0.229,0.52,,3,0,2015
4,Harrison Barnes,22,82,2318,0.482,12.9,,0.672,0.309,0.122,0.081,0.16,0.328,,0.519,0.685,0.325,0.415,0.4,0.405,,0.611,0.977,,0.104,66,,0.526,0.478,,1,0,2015
5,Andre Iguodala,31,77,2069,0.466,14.8,,0.573,0.29,0.071,0.079,0.133,0.427,,0.553,0.75,0.286,0.359,0.379,0.349,,0.643,0.905,,0.141,64,,0.377,0.325,,6,0,2015
6,Andrew Bogut,30,67,1583,0.563,3.2,,1.0,0.592,0.346,0.056,0.006,0.0,,0.563,0.643,0.488,0.25,0.0,,,0.66,,,0.186,56,,,,,0,0,2015
7,Shaun Livingston,29,78,1468,0.5,8.3,,0.995,0.27,0.237,0.417,0.071,0.005,,0.503,0.701,0.362,0.461,0.464,0.0,,0.46,,,0.111,40,,0.0,,,1,0,2015
8,Marreese Speights,27,76,1207,0.492,10.6,,0.972,0.316,0.141,0.102,0.413,0.028,,0.498,0.632,0.418,0.5,0.423,0.278,,0.776,0.8,,0.056,33,,0.222,0.25,,2,0,2015
9,Leandro Barbosa,32,66,982,0.474,11.7,,0.71,0.37,0.137,0.088,0.114,0.29,,0.511,0.65,0.377,0.294,0.386,0.384,,0.643,0.884,,0.0,0,,0.259,0.483,,1,0,2015
10,David Lee,31,49,904,0.511,5.6,,0.994,0.482,0.326,0.08,0.105,0.006,,0.514,0.689,0.314,0.56,0.303,0.0,,0.706,,,0.077,23,,0.0,,,1,0,2015
11,Justin Holiday,25,59,657,0.387,16.7,,0.536,0.2,0.072,0.072,0.191,0.464,,0.444,0.553,0.294,0.529,0.356,0.321,,0.75,0.943,,0.064,13,,0.239,0.462,,1,0,2015
12,Festus Ezeli,25,46,504,0.547,4.1,,1.0,0.518,0.381,0.065,0.036,0.0,,0.547,0.653,0.491,0.333,0.0,,,0.632,,,0.237,28,,,,,0,0,2015
13,Brandon Rush,29,33,271,0.204,17.5,,0.5,0.167,0.093,0.056,0.185,0.5,,0.296,0.333,0.4,0.0,0.3,0.111,,0.25,1.0,,0.019,0,,0.222,0.167,,0,0,2015
14,James Michael McAdoo,22,15,137,0.545,2.2,,1.0,0.705,0.25,0.023,0.023,0.0,,0.545,0.71,0.091,1.0,0.0,,,0.833,,,0.295,11,,,,,0,0,2015
